COS 120,Introduction to Computational Problem Solving
COS 121,Foundations of Computer Science
COS 143,Interactive Web Page Design
COS 230,Missions Technology
COS 243,Multi-tier Web Application Development
COS 264,IAD - Interactive Application Development
COS 265,Data Structures and Algorithms
COS 280,Introduction to Artificial Intelligence
COS 284,Introduction to Computer Systems
COS 310,Current Literature Survey
COS 311,Ethics in Computer Science
COS 314,Human Computer Interaction
COS 320,Algorithm Design
COS 331 ,Data Communications
COS 340,Software Engineering
COS 341,Database Concepts
COS 343,Advanced Database Concepts
COS 350,Graphics
COS 351,Computer Vision
COS 371,SWS I
COS 372,SWS II
COS 380,Natural Language Processing
COS 381,Computer Architecture
COS 382,Language Structures
COS 393,Practicum
COS 421,Operating Systems
COS 424,Surfaces and Modeling
COS 425,Animation
COS 435,Theory of Computation
COS 426,Distributed Processings
COS 452,Research I
COS 453,Research II
COS 471,SWS III
COS 472,SWS IIII
COS 492,Senior Project
COS 493,Capstone -- do we really have to answer questions about this?
MAT 151,Calculus
MAT 215,Discrete Math
MAT 230,Calculus II
MAT 240,Calculus III
MAT 245,Linear Algebra
MAT 251,Differential Equations
MAT 310,Mathematical Modeling with Numerical Analysis
MAT 352,Mathematical Statistics
SYS 101,Intro to Systems
SYS 214,Principles of Human Computer Interaction
SYS 310,E-Commerce
SYS 352,Knowledge Based Systems
SYS 390,Information Systems Analysis
SYS 392,Systems Seminar
SYS 393,Systems Practicum
SYS 394,Information Systems Design
SYS 401,Operations Research
SYS 402,Modeling and Simulation
SYS 403,Operations Management
SYS 411,Machine Learning
