Question ID,Contributor aka Name,In Progress / Finished,Avg Result,Question,Class, Answer
1619,,,10,Software engineering: How do you go about estimating the time required to complete a project.,COS340,
1628,,,10,What is the basic idea of programmable shaders as compared to the standard OpenGL pipeline?,COS350,
1631,AC/DK,X,10,What is compositing of images? Why is it useful in animation?,COS425,Compositing is like the post production when you make it look pretty. For example&#44; you could add fog&#44; color balance&#44; etc. It's useful in animation because it allows you to layer images and create effects that you can't do while you animate. It can also be useful for reducing the amount of time to create certain effects.
1642,,X,10,"Explain the concept of event handlers including the ""windows"" programming model.",COS265,Event handlers 
1655,AK,X,10,"What is meant by ""functional language""? Example.",COS382,In computer science&#44; functional programming is a programming paradigm that treats computation as the evaluation of mathematical functions and avoids state and mutable data. It emphasizes the application of functions&#44; in contrast to the imperative programming style&#44; which emphasizes changes in state.[1] Functional programming has its roots in lambda calculus&#44; a formal system developed in the 1930s to investigate function definition&#44; function application&#44; and recursion. Many functional programming languages can be viewed as elaborations on the lambda calculus.[1] Javascript is an example of a functional language. prominent functional programming languages such as Common Lisp&#44; Scheme&#44;[2][3][4][5] ISLISP&#44; JavaScript&#44; Clojure&#44; Racket&#44;[6] Erlang&#44;[7][8][9] OCaml&#44;[10][11] Haskell&#44;[12][13] Scala[14] and F#[15][16] 
1657,,,10,How does a stack overrun attack work?,COS284,
1661,SRW,X,10,If an algorithm is O(n^3) and requires 10 units of time for some data&#44; what happens if we double the amount of data to process?,COS265,It will take 1000 units of time
1666,,,10,Draw vectors involved in diffuse reflection and explain rile of angles.,COS351,
1705,,,10,What is the basic approach to numeral integration?,MAT151,
1707,NJC,X,10,What is a stack?,COS121,A stack is a last in&#44; first out (LIFO) abstract data type and linear data structure. Also known for  two fundamental operation called pop and push.
1709,,,10,Which of Crosby's four absolutes apply to software testing? How/why?,SYS390,
1710,,,10,OR - linear programming?,SYS401,
1719,,,10,Explain complexity classes P&#44; NP&#44; NP complete.,COS 320,
1724,SRW,X,10,CV - What is the basic approach to edge detection?,Computer Vision,Use a filter to determine the rate of change in intensity of pixels. The areas with higher values will generally be where edges are.
1725,,,10,What is a finite state transducer? Give an example of how it is used in NLP.,COS265,
1726,,,10,What does it mean to say that an algorithm is O(lg N)? Example?,COS265,
1727,,,10,Contrast Breadth First Search and Depth First Search. (BFS and DFS),COS265,
1728,,X,10,Pick a book from HRO and tell the main point from it.,IAS330,No.
1729,,,10,Describe the appropriate experimental methodology for evaluating the performance of an NLP system against a particular data set.,N/A,
1731,,,10,Describe basic idea of a NN,N/A,
1733,,X,10,What is the difference between diffuse surfaces and specular surfaces?,COS350,Diffuse surfaces do not reflect as much light; they are matte. Specular surfaces have highlights and reflect more light.
1734,AAC,X,10,What is the affordance of an object? How does this relate to software design?,SYS 214,Affordance is a quality of an object which allows some action to be performed. In Software design this means that people come to a program expecting that certain actions will be there and they want the software design to reflect that these actions can be accomplished. 
1736,AAC,X,10,What is the difference between vector graphics and raster graphics?,COS350,Vectors are created via mathematical equations and raster graphics are based on pixels. This is why there is such a quality differences between when images are enlarged or shrunk between vector graphics and raster graphics.
1738,NJC,X,10,What technical advantages are there to having HTML and CSS separated? What organizational ones?,COS143/COS264,The technical advantages are the site uses less bandwidth and loads faster&#44; the site will get better search results&#44;... The organization advantages are the content is separated from the design&#44;...
824,DKK,X,10,Gulf of execution vs. evaluation,SYS214,The gulf of execution is the gap between a users desired goal and the means to achieve that goal given by a system. The gulf of evaluation is the gap between the result of an action and the users ability to interpret the result of that action. (or the amount of difficulty the user has in determining the state of a system) 
825,DKK,X,10,computer vision - image enhancement ,COS351,know it.
,DKK,X,,what is one technique?,,image sharpening such as Laplacian filter. Adjust contrast using histogram equalization (stretch out the histogram using cumulative distribution). Apply noise reduction or median filter. 
,DKK,X,,why do it?,,Image enhancement can make it easier for a computer to recognize patterns and make decisions based on those patterns. Also to make images pretty!
498,,X,10,What is the difference between conceptual and logical database design?,COS341,http://www.1keydata.com/datawarehousing/data-modeling-levels.html
70,,,10,What is an expert system shell?,SYS352,
830,,,10,dezcribe inverse kinematics,COS425,
117,,X,10,What is an Entity Relationship Diagram (ERD)? [follow on] Draw one that representsthe relationship between students and classes.,SYS390,ERD's illustrate the logical structure of a database. A data modeling technique used in software engineering to produce a conceptual data model of a information system. A box with student and a box with classes with a one to many relationship. 
608,,,10,Convert the following binary number to octal and hexadecimal: 10111101,COS381,
843,,,10,Draw a Venn diagram that illustrates union&#44; intersection&#44; and difference.,Discrete?,
844,,,10,What are the main ideas of keyframe animation?,COS425,
550,,,10,Discuss texture mapping. What is it? Why is it desirable?,COS350,
851,,,10,What is a B2B application?,SYS394,
853,AK,X,10,What is an ERD?,SYS390,Entity Relationship Diagram is a diagram of a database design
854,,X,10,What is the complexity of your favorite sort algorithm?,COS265,Bubble sort FTW!
30,,,10,What is a Gantt chart? Draw one with 4 tasks. [follow on] Explain how would you useit?,SYS200,
862,,,10,What is accessibility?,SYS214,
863,NJC,X,10,What are some ways to ensure data integrity in a data base?,SYS101,Data encryption&#44; Data backup&#44; Access controls&#44; Input validation&#44; and Data validation
865,,,10,DFS - data structure,N/A,
405,,,10,Graphs are useful in representing maps&#44; pipelines&#44; networks&#44; and routes. How can theybe represented in a computer? [follow on] Create the adjacency matrix for: A ----- B ---- C,COS320,
879,,,10,Discuss the architecture of a basic stamp compared to a msp430&#44; espicially the memory.,N/A,
886,,,10,Use the MSP430 Timer a block diagram to explain how the timer operates.,N/A,
892,,,10,Define Settling time&#44; rise time and percent overshoot. Draw a graph if that helps.,N/A,
918,,,10,Make a simple sketch of a field effect transistor and describe how it works.,N/A,
924,,,10,Define the laplace transform and describe how to use a laplace transform.,COS351,
479,,,10,White and black box testing are two methods of increasing software quality. Describethem.,COS340,
230,,,10,In the past&#44; what language was most dominant in the development of business applicationssoftware? What are the currently most dominant? Why the change?,COS240,
945,,,10,how are binary trees ordered - always?,COS121,
989,AS,X,10,What are Crosby's four absolutes?,SYS101,1. The definition of quality is conformance to requirements 2. The system of quality is prevention 3. The standard of quality is zero defects 4. The measure of quality is the price of nonconformance
1028,,X,10,What is a greedy algorithm? Give an example.,COS265,An algorithm that uses the technique of taking the optimal choice at every point with the hope being that it leads to the best overall outcome.
254,,,10,What is the difference between prefix&#44; infix and postfix notation? Give examples.,COS250,
957,,,10,What decimal value does the twos complement value 0101 represent? What about 1111?,COS284,
246,,,10,When writing functions it is helpful to write preconditions and postconditions. Whatare they and why would you include them?,COS250,
1032,MCW,X,10,What is a functional programming language? Give an example language.,COS120,A functional programming language is: 1. a programming language that focuses on functions&#44; rather than state changes&#44; as a means of evaluating expressions&#44; and it can be cross-platformed.
977,,,10,What is a page table used for?,COS284,
959,,,10,What is the binary representation of 4.75?,COS284,
1033,BN,X,10,Describe hashing. Why is it used? Problems?,COS265,A hash is a way of storing data that allows for constant time (O(1)) searching of data.  Collisions are problems
1034,,,10,What is meant by a partially ordered data structure? Example.,COS265,
1036,,,10,Why do you normalize a database? Why might you want to not normalize?,N/A,
1042,,,10,Describe some important considerations when connecting transmission lines.,N/A,
1043,,,10,Compare OSI and IP stacks.,N/A,
269,,,10,When two different data values are sent through a hashing function it is possible that the same index may be generated. This results in a collision. What are someways that collisions can be resolved?,COS250,
1106,,,10,what is the critical path in project management?,SYS394,
1240,,,10,DFA&#44; NFA what is the difference? Is one more powerful than another?,N/A,
1245,,,10,What is the basic process involved in Kepner-Tregoe decision analysis (DA)?,SYS394,
1338,AK,X,10,When mapping from an Entity-Relationship Diagram (ERD) to an RDBMS&#44; what do entities become in the RDBMS? Attributes?,SYS390,Entities in an ERD turn into tables in an RDBMS and attributes turn into table columns
1341,,,10,In project scheduling&#44; what is the purpose of calculating the critical path?,N/A,
1442,SRW,X,10,Difference between DFA/NFA - power?,COS435,Just as powerful as each other (can both be used to represent the same languages). DFA is more efficient when implemented&#44; NFA is often easier to work with when trying to define a language.
1454,,,10,What does a parser do?,N/A,
1479,AK,X,10,Crosby's Four Absolutes,SYS101,1. The definition of quality is conformance to requirements 2. The system of quality is prevention 3. The standard of quality is zero defects 4. The measure of quality is the price of nonconformance
1517,SRW,X,10,Give an example of a regular expression. Why are they useful?,N/A,"""http\:s?\/\/www\.\w+\.com"" These can be very useful when searching for substrings or matching inputs that can take a variety of forms"
1520,,,10,What is a DFA and an NFA? How are they different?,N/A,
1521,,,10,What is an abstract data type?,N/A,
1562,,,10,What are some characteristics of a greedy algorithm?,N/A,
404,,,9.8,,COS320,
262,MCW,X,9.75,What is the difference between static memory allocation and dynamic memory allocation?,COS250,Static memory allocation is storing data on a segment of memory by the compiler before run-time; whereas&#44; dynamic allocation stores data on heap and is assigned by functions during run-time.
1627,AK,X,9.67,What are Crosby's 4 absolutes?,SYS101,1. The definition of quality is conformance to requirements 2. The system of quality is prevention 3. The standard of quality is zero defects 4. The measure of quality is the price of nonconformance
1679,,,9.67,Describe the memory hierarchy.,N/A,
1681,,,9.67,What is the role of SCM?,N/A,
1699,SRW,X,9.67,Which of Crosby's four absolutes of quality is most relevant to software testing?,N/A,The System of Quality is Prevention
1700,,,9.67,What are the key principles of the Scrum agile development methodology?,SYS394,
1712,,,9.67,Describe the purpose and basic form of a KT Decision Analysis.,SYS394,
1716,,,9.67,Numerical techniques for finding the root of an equation.,MAT151,
1730,AD,X,9.67,What is the difference between procedural programming and event driven programming? ,COS265,In event driven programming&#44; the program does nothing except listen for events. Once an event happens&#44; specific code is run. In procedural programming&#44; each line of code simply executes after the line before it. An event is anything that the program can detect&#44; such as a button getting clicked or the system clock reaches a certain time.
,,,,deterministic?,,
